s,x,y,speed,speed_kph,lateral_g,longitudinal_g,curvature
1652.4961,1029.2213,1069.8784,127.5142,459.0511,0.0000,0.1837,0.0000
1665.1578,1040.7883,1075.0284,127.6930,459.6946,0.0000,0.1788,-0.0000
1677.8194,1052.3552,1080.1783,127.8668,460.3204,0.0000,0.1741,-0.0000
1690.4810,1063.9222,1085.3283,128.0358,460.9290,0.0000,0.1696,0.0000
1703.1426,1075.4892,1090.4782,128.2002,461.5209,0.0000,0.1651,-0.0000
1715.8043,1087.0562,1095.6281,128.3601,462.0964,0.0000,0.1608,-0.0000
1728.4659,1098.6231,1100.7781,128.5156,462.6562,0.0000,0.1566,-0.0000
1741.1275,1110.1901,1105.9280,128.6669,463.2007,0.0000,0.1525,0.0000
1753.7892,1121.7571,1111.0780,128.8140,463.7302,0.0000,0.1485,0.0000
1766.4508,1133.3240,1116.2279,128.9570,464.2453,0.0000,0.1446,-0.0000
1779.1124,1144.8910,1121.3779,129.0962,464.7463,0.0000,0.1408,0.0000
1791.7740,1156.4580,1126.5278,129.2316,465.2337,0.0000,0.1371,0.0000
1804.4357,1168.0250,1131.6778,129.3633,465.7077,0.0000,0.1335,0.0000
1817.0973,1179.5919,1136.8277,129.4914,466.1689,0.0000,0.1300,0.0000
1829.7589,1191.1589,1141.9777,129.6160,466.6175,0.0000,0.1266,-0.0000
1842.4205,1202.7259,1147.1276,129.7372,467.0540,0.0000,0.1232,-0.0000
1855.0822,1214.2928,1152.2776,129.8552,467.4786,0.0000,0.1200,-0.0000
1867.7438,1225.8598,1157.4275,129.9699,467.8916,0.0000,0.1169,0.0000
1880.4054,1237.4268,1162.5775,130.0815,468.2935,0.0000,0.1138,0.0000
1893.0670,1248.9938,1167.7274,130.1902,468.6846,0.0000,0.1108,-0.0000
1905.7287,1260.5607,1172.8774,130.2958,469.0650,0.0000,0.1079,0.0000
1918.3903,1272.1277,1178.0273,130.3987,469.4352,0.0000,0.1051,0.0000
1931.0519,1283.6947,1183.1773,130.4987,469.7953,0.0000,0.1023,-0.0000
1943.7136,1295.2617,1188.3272,130.5961,470.1458,0.0000,0.0996,0.0000
1956.3752,1306.8286,1193.4772,130.6908,470.4868,0.0000,0.0970,0.0000
1969.0368,1318.3956,1198.6271,130.7830,470.8186,0.0000,0.0945,-0.0000
1981.6984,1329.9626,1203.7770,130.8726,471.1415,0.0000,0.0920,0.0000
1994.3601,1341.5295,1208.9270,130.9599,471.4557,0.0000,0.0896,0.0000
2007.0217,1353.0965,1214.0769,131.0449,471.7615,0.0000,0.0872,-0.0000
2019.6833,1364.6635,1219.2269,131.1275,472.0590,0.0000,0.0849,-0.0000
2032.3449,1376.2305,1224.3768,131.2079,472.3486,0.0000,0.0827,0.0000
2045.0066,1387.7974,1229.5268,131.2862,472.6304,0.0000,0.0805,0.0000
2057.6682,1399.3644,1234.6767,131.3624,472.9046,0.0000,0.0784,-0.0000
2070.3298,1410.9314,1239.8267,131.4365,473.1715,0.0000,0.0764,0.0000
2082.9915,1422.4983,1244.9766,131.5087,473.4313,0.0000,0.0744,0.0000
2095.6531,1434.0653,1250.1266,131.5789,473.6841,0.0000,0.0724,-0.0000
2108.3147,1445.6323,1255.2765,131.6472,473.9301,0.0000,0.0705,0.0000
2120.9763,1457.1993,1260.4265,131.7138,474.1695,0.0000,0.0687,0.0000
2133.6380,1468.7662,1265.5764,131.7785,474.4026,0.0000,0.0669,-0.0000
2146.2996,1480.3332,1270.7264,131.8415,474.6294,0.0000,0.0651,0.0000
2158.9612,1491.9002,1275.8763,131.9028,474.8502,0.0000,0.0634,0.0000
2171.6228,1503.4671,1281.0263,131.9625,475.0650,0.0000,0.0617,-0.0000
2184.2845,1515.0341,1286.1762,132.0206,475.2742,0.0000,0.0601,0.0000
2196.9461,1526.6011,1291.3262,132.0772,475.4778,0.0000,0.0585,0.0000
2209.6077,1538.1681,1296.4761,132.1322,475.6759,0.0000,0.0570,0.0000
2222.2693,1549.7350,1301.6261,132.1858,475.8688,0.0000,0.0555,-0.0000
2234.9310,1561.3020,1306.7760,132.2379,476.0565,0.0000,-4.1382,-0.0000
2247.5926,1572.8690,1311.9259,128.2921,461.8515,0.0000,-5.4429,0.0000
2260.2542,1584.4359,1317.0759,122.9095,442.4740,0.0000,-5.3037,-0.0000
2272.9159,1596.0029,1322.2258,117.4274,422.7385,0.0000,-5.1681,0.0000
2285.5775,1607.5699,1327.3758,111.8272,402.5779,0.0000,-5.0359,0.0000
2298.2391,1619.1369,1332.5257,106.0862,381.9104,0.0000,-4.9072,-0.0000
2310.9007,1630.7038,1337.6757,100.1760,360.6337,0.0000,-4.7817,0.0000
2323.5624,1642.2708,1342.8256,94.0604,338.6174,0.0000,-4.6595,0.0000
2336.2240,1653.8378,1347.9756,87.6918,315.6905,0.0000,-4.5403,-0.0000
2348.8856,1665.4047,1353.1255,81.0058,291.6209,0.0000,-4.4242,0.0000
2361.5472,1676.9717,1358.2755,73.9112,266.0804,0.8253,-4.3111,-0.0015
2374.2089,1688.5387,1363.4254,66.2714,238.5770,2.6357,-2.4971,-0.0059
2386.9582,1700.5408,1367.7262,61.3781,220.9611,3.9409,-0.4023,-0.0103
2399.7076,1713.0498,1370.1901,60.5528,217.9901,4.3857,-0.4023,-0.0117
2412.4570,1725.7863,1370.7621,59.7161,214.9779,4.2654,0.2502,-0.0117
2425.2063,1738.4659,1369.4294,60.2379,216.8564,4.3402,-0.0009,-0.0117
2437.9557,1750.8051,1366.2218,60.2361,216.8498,4.3400,0.0003,-0.0117
2450.7051,1762.5285,1361.2110,60.2366,216.8519,4.3400,-0.0001,-0.0117
2463.4544,1773.3742,1354.5089,60.2365,216.8512,4.3400,0.0000,-0.0117
2476.2038,1783.0998,1346.2651,60.2365,216.8515,4.3400,-0.0000,-0.0117
2488.9532,1791.4881,1336.6639,60.2365,216.8514,4.3400,0.0000,-0.0117
2501.7026,1798.3517,1325.9198,60.2365,216.8514,4.3400,-0.0000,-0.0117
2514.4519,1803.5373,1314.2727,60.2365,216.8514,4.3400,0.0000,-0.0117
2527.2013,1806.9291,1301.9827,60.2365,216.8514,4.3400,-0.0000,-0.0117
2539.9507,1808.4513,1289.3246,60.2365,216.8514,3.7964,1.5179,-0.0103
2552.7000,1808.0699,1276.5809,63.3097,227.9148,2.4019,1.4777,-0.0059
2565.3987,1806.7426,1263.9518,66.1536,238.1528,0.6582,1.4389,-0.0015
2578.0974,1805.4152,1251.3227,68.8098,247.7151,0.0000,1.4010,-0.0000
2590.7961,1804.0878,1238.6935,71.3010,256.6837,0.0000,1.3641,0.0000
2603.4948,1802.7604,1226.0644,73.6458,265.1249,0.0000,1.3282,0.0000
2616.1935,1801.4331,1213.4353,75.8593,273.0934,0.0000,1.2933,-0.0000
2628.8921,1800.1057,1200.8062,77.9541,280.6349,0.0000,1.2592,-0.0000
2641.5908,1798.7783,1188.1771,79.9411,287.7880,0.0000,1.2261,0.0000
2654.2895,1797.4509,1175.5479,81.8295,294.5861,0.0000,1.1938,0.0000
2666.9882,1796.1236,1162.9188,83.6272,301.0578,0.0000,1.1624,0.0000
2679.6869,1794.7962,1150.2897,85.3412,307.2283,0.0000,1.1318,-0.0000
2692.3856,1793.4688,1137.6606,86.9776,313.1195,0.0000,1.1020,-0.0000
2705.0843,1792.1414,1125.0314,88.5420,318.7511,0.0000,1.0730,0.0000
2717.7829,1790.8141,1112.4023,90.0390,324.1405,0.0000,1.0448,0.0000
2730.4816,1789.4867,1099.7732,91.4731,329.3033,0.0000,1.0173,-0.0000
2743.1803,1788.1593,1087.1441,92.8482,334.2536,0.0000,0.9905,-0.0000
2755.8790,1786.8319,1074.5150,94.1678,339.0043,0.0000,0.9645,0.0000
2768.5777,1785.5046,1061.8858,95.4352,343.5667,0.0000,0.9391,0.0000
2781.2764,1784.1772,1049.2567,96.6532,347.9517,0.0000,0.9144,0.0000
2793.9751,1782.8498,1036.6276,97.8247,352.1687,0.0000,0.8903,-0.0000
2806.6737,1781.5224,1023.9985,98.9519,356.2269,0.0000,0.8669,-0.0000
2819.3724,1780.1951,1011.3694,100.0373,360.1343,0.0000,0.8441,0.0000
2832.0711,1778.8677,998.7402,101.0829,363.8985,0.0000,0.8219,0.0000
2844.7698,1777.5403,986.1111,102.0908,367.5267,0.0000,0.8002,-0.0000
2857.4685,1776.2129,973.4820,103.0626,371.0253,0.0000,0.7792,-0.0000
2870.1672,1774.8856,960.8529,104.0001,374.4004,0.0000,0.7587,0.0000
2882.8659,1773.5582,948.2237,104.9049,377.6577,0.0000,0.7387,0.0000
2895.5645,1772.2308,935.5946,105.7785,380.8025,0.0000,0.7193,0.0000
2908.2632,1770.9035,922.9655,106.6222,383.8398,0.0000,0.7003,-0.0000
2920.9619,1769.5761,910.3364,107.4373,386.7743,0.0000,0.6819,-0.0000
2933.6606,1768.2487,897.7073,108.2251,389.6102,0.0000,0.6640,0.0000
2946.3593,1766.9213,885.0781,108.9866,392.3519,0.0000,0.6465,0.0000
2959.0580,1765.5940,872.4490,109.7231,395.0031,0.0000,0.6295,-0.0000
2971.7567,1764.2666,859.8199,110.4354,397.5676,0.0000,0.6129,-0.0000
2984.4553,1762.9392,847.1908,111.1247,400.0488,0.0000,0.5968,0.0000
2997.1540,1761.6118,834.5617,111.7917,402.4500,0.0000,0.5811,0.0000
3009.8527,1760.2845,821.9325,112.4373,404.7743,0.0000,0.5658,0.0000
3022.5514,1758.9571,809.3034,113.0624,407.0247,0.0000,0.5509,-0.0000
3035.2501,1757.6297,796.6743,113.6678,409.2039,0.0000,0.5364,-0.0000
3047.9488,1756.3023,784.0452,114.2541,411.3148,0.0000,0.5223,0.0000
3060.6475,1754.9750,771.4161,114.8221,413.3597,0.0000,0.5085,0.0000
3073.3461,1753.6476,758.7869,115.3725,415.3411,0.0000,0.4951,0.0000
3086.0448,1752.3202,746.1578,115.9059,417.2614,0.0000,0.4821,-0.0000
3098.7435,1750.9928,733.5287,116.4230,419.1227,0.0000,0.4694,-0.0000
3111.4422,1749.6655,720.8996,116.9242,420.9270,0.0000,0.4571,0.0000
3124.1409,1748.3381,708.2704,117.4101,422.6765,0.0000,0.4450,0.0000
3136.8396,1747.0107,695.6413,117.8814,424.3730,0.0000,0.4333,-0.0000
3149.5383,1745.6833,683.0122,118.3384,426.0184,0.0000,0.4219,-0.0000
3162.2369,1744.3560,670.3831,118.7818,427.6144,0.0000,0.4108,-0.0000
3174.9356,1743.0286,657.7540,119.2119,429.1627,0.0000,0.4000,0.0000
3187.6343,1741.7012,645.1248,119.6291,430.6649,0.0000,0.3895,0.0000
3200.3330,1740.3738,632.4957,120.0340,432.1225,0.0000,0.3792,-0.0000
3213.0317,1739.0465,619.8666,120.4270,433.5371,0.0000,0.3693,-0.0000
3225.7304,1737.7191,607.2375,120.8083,434.9101,0.0000,0.3595,0.0000
3238.4291,1736.3917,594.6084,121.1785,436.2427,0.0000,0.3501,0.0000
3251.1278,1735.0643,581.9792,121.5379,437.5364,0.0000,0.3409,-0.0000
3263.8264,1733.7370,569.3501,121.8868,438.7924,0.0000,0.3319,-0.0000
3276.5251,1732.4096,556.7210,122.2255,440.0118,0.0000,0.3232,0.0000
3289.2238,1731.0822,544.0919,122.5544,441.1960,0.0000,0.3147,0.0000
3301.9225,1729.7549,531.4627,122.8739,442.3459,0.0000,0.3064,0.0000
3314.6212,1728.4275,518.8336,123.1841,443.4627,0.0000,0.2983,-0.0000
3327.3199,1727.1001,506.2045,123.4854,444.5474,0.0000,0.2905,-0.0000
3340.0186,1725.7727,493.5754,123.7781,445.6011,0.0000,0.2828,0.0000
3352.7172,1724.4454,480.9463,124.0624,446.6246,0.0000,0.2754,0.0000
3365.4159,1723.1180,468.3171,124.3386,447.6189,0.0000,0.2681,-0.0000
3378.1146,1721.7906,455.6880,124.6069,448.5850,0.0000,0.2611,-0.0000
3390.8133,1720.4632,443.0589,124.8677,449.5236,0.0000,0.2542,0.0000
3403.5120,1719.1359,430.4298,125.1210,450.4357,0.0000,0.2475,0.0000
3416.2107,1717.8085,417.8007,125.3672,451.3219,0.0000,0.2410,0.0000
3428.9094,1716.4811,405.1715,125.6064,452.1832,0.0000,0.2347,-0.0000
3441.6080,1715.1537,392.5424,125.8390,453.0203,0.0000,0.2285,-0.0000
3454.3067,1713.8264,379.9133,126.0649,453.8338,0.0000,0.2225,0.0000
3467.0054,1712.4990,367.2842,126.2846,454.6245,0.0000,0.2166,0.0000
3479.7041,1711.1716,354.6551,126.4981,455.3931,0.0000,0.2109,-0.0000
3492.4028,1709.8442,342.0259,126.7056,456.1403,0.0000,0.2054,-0.0000
3505.1015,1708.5169,329.3968,126.9074,456.8666,0.0000,0.2000,0.0000
3517.8002,1707.1895,316.7677,127.1035,457.5726,0.0000,0.1947,0.0000
3530.4988,1705.8621,304.1386,127.2942,458.2591,0.0000,0.1896,0.0000
3543.1975,1704.5347,291.5094,127.4796,458.9265,0.0000,0.1846,-0.0000
3555.8962,1703.2074,278.8803,127.6598,459.5754,0.0000,-0.3427,-0.0000
3568.5949,1701.8800,266.2512,127.3250,458.3700,0.0000,-5.4170,0.0000
3581.2936,1700.5526,253.6221,121.9099,438.8755,0.0000,-5.2781,0.0000
3593.9923,1699.2252,240.9930,116.3915,419.0094,0.0000,-5.1428,-0.0000
3606.6910,1697.8979,228.3638,110.7505,398.7017,0.0000,-5.0109,-0.0000
3619.3896,1696.5705,215.7347,104.9629,377.8664,0.0000,-4.8824,0.0000
3632.0883,1695.2431,203.1056,98.9988,356.3957,0.0000,-4.7572,0.0000
3644.7870,1693.9158,190.4765,92.8198,334.1512,0.0000,-4.6352,0.0000
3657.4857,1692.5884,177.8474,86.3750,310.9501,0.0000,-4.5164,-0.0000
3670.1844,1691.2610,165.2182,79.5952,286.5427,0.0000,-4.4006,-0.0000
