s,x,y,speed,speed_kph,lateral_g,longitudinal_g,curvature
1372.9493,0.0000,1372.9493,82.8994,298.4379,0.0000,-4.4868,0.0000
1382.2260,0.0000,1382.2260,77.8182,280.1454,0.0000,-4.4022,0.0000
1391.5027,0.0000,1391.5027,72.4874,260.9548,0.0000,-4.3192,0.0000
1400.7794,0.0000,1400.7794,66.8454,240.6433,0.0000,-4.2377,0.0000
1410.0561,0.0000,1410.0561,60.8030,218.8907,0.0000,-4.1578,0.0000
1419.3327,0.0000,1419.3327,54.2241,195.2067,0.0000,-3.6163,0.0000
1428.6094,0.0000,1428.6094,47.7709,171.9753,0.4516,-2.7870,-0.0019
1437.8861,0.0000,1437.8861,42.1283,151.6620,1.5733,-1.4663,-0.0087
1446.1701,0.6319,1446.1460,39.1978,141.1122,2.5468,-0.1743,-0.0163
1454.4542,2.5130,1454.2136,38.8348,139.8052,2.8341,-0.1743,-0.0184
1462.7382,5.5995,1461.9012,38.4683,138.4859,2.7809,0.1743,-0.0184
1471.0222,9.8196,1469.0298,38.8348,139.8052,2.8341,-0.1743,-0.0184
1479.3062,15.0749,1475.4334,38.4683,138.4859,2.7809,0.1743,-0.0184
1487.5903,21.2432,1480.9630,38.8348,139.8052,2.8341,-0.1743,-0.0184
1495.8743,28.1809,1485.4900,38.4683,138.4859,2.0857,1.7174,-0.0138
1504.1583,35.7265,1488.9089,41.9398,150.9832,0.0000,-1.3688,0.0000
1512.4424,43.2721,1492.3278,39.1978,141.1122,2.1655,-0.1743,0.0138
1520.7264,50.2099,1496.8547,38.8348,139.8052,2.8341,-0.1743,0.0184
1529.0104,56.3782,1502.3844,38.4683,138.4859,2.7809,0.1743,0.0184
1537.2944,61.6335,1508.7880,38.8348,139.8052,2.8341,-0.1743,0.0184
1545.5785,65.8535,1515.9166,38.4683,138.4859,2.7809,0.1743,0.0184
1553.8625,68.9400,1523.6041,38.8348,139.8052,2.8341,-0.1743,0.0184
1562.1465,70.8211,1531.6718,38.4683,138.4859,2.3420,1.3883,0.0155
1570.4305,71.4531,1539.9316,41.2971,148.6696,1.0737,1.7210,0.0062
1579.5474,71.6593,1549.0461,44.8696,161.5307,0.4760,1.6885,-0.0023
1588.6642,72.2776,1558.1419,48.1176,173.2233,1.1714,1.6566,-0.0050
1597.7810,73.3067,1567.2005,51.1039,183.9741,1.3213,1.6253,-0.0050
1606.8978,74.7446,1576.2032,53.8732,193.9436,1.4684,1.5945,-0.0050
1616.0146,76.5881,1585.1317,56.4583,203.2500,1.6127,1.5644,-0.0050
1625.1314,78.8337,1593.9676,58.8844,211.9839,1.7543,1.5349,-0.0050
1634.2482,81.4767,1602.6929,61.1712,220.2164,1.8932,1.5059,-0.0050
1643.3650,84.5116,1611.2898,63.3346,228.0046,2.0295,1.4774,-0.0050
1652.4819,87.9323,1619.7405,65.3876,235.3955,2.1632,1.4495,-0.0050
1661.5987,91.7317,1628.0279,67.3410,242.4278,2.2943,1.4221,-0.0050
1670.7155,95.9021,1636.1349,69.2040,249.1344,2.4230,1.3952,-0.0050
1679.8323,100.4350,1644.0450,70.9842,255.5433,2.5493,1.3689,-0.0050
1688.9491,105.3210,1651.7419,72.6885,261.6786,2.6732,1.3430,-0.0050
1698.0659,110.5502,1659.2100,74.3226,267.5613,2.7947,1.3176,-0.0050
1707.1827,116.1118,1666.4339,75.8916,273.2098,2.9140,1.2928,-0.0050
1716.2996,121.9946,1673.3988,77.4001,278.6403,3.0310,1.2683,-0.0050
1725.4164,128.1863,1680.0905,78.8520,283.8673,3.1458,1.2444,-0.0050
1734.5332,134.6744,1686.4952,80.2510,288.9036,3.2584,1.2209,-0.0050
1743.6500,141.4456,1692.5999,81.6002,293.7609,3.3689,1.1978,-0.0050
1752.7668,148.4860,1698.3921,82.9027,298.4496,3.4773,1.1752,-0.0050
1761.8836,155.7811,1703.8599,84.1609,302.9792,3.5836,1.1530,-0.0050
1771.0004,163.3162,1708.9921,85.3773,307.3583,3.6879,1.1312,-0.0050
1780.1172,171.0756,1713.7782,86.5541,311.5949,3.7903,1.1098,-0.0050
1789.2341,179.0437,1718.2084,87.6934,315.6962,3.8908,1.0888,-0.0050
1798.3509,187.2039,1722.2737,88.7969,319.6689,3.9893,1.0683,-0.0050
1807.4677,195.5397,1725.9657,89.8664,323.5192,3.5803,1.0481,-0.0043
1816.5845,204.0340,1729.2768,90.9035,327.2526,2.0697,1.0283,-0.0025
1825.8836,212.7722,1732.4573,91.9296,330.9466,0.5188,1.0085,-0.0006
1835.1826,221.5105,1735.6378,92.9249,334.5298,0.0000,0.9890,-0.0000
1844.4817,230.2488,1738.8182,93.8908,338.0070,0.0000,0.9700,0.0000
1853.7808,238.9870,1741.9987,94.8286,341.3829,0.0000,0.9513,0.0000
1863.0798,247.7253,1745.1792,95.7393,344.6615,0.0000,0.9329,-0.0000
1872.3789,256.4636,1748.3596,96.6242,347.8470,0.0000,0.9150,0.0000
1881.6780,265.2018,1751.5401,97.4842,350.9430,0.0000,0.8973,-0.0000
1890.9770,273.9401,1754.7206,98.3203,353.9530,0.0000,0.8800,-0.0000
1900.2761,282.6784,1757.9010,99.1334,356.8804,0.0000,0.8631,0.0000
1909.5751,291.4166,1761.0815,99.9245,359.7282,0.0000,0.8464,0.0000
1918.8742,300.1549,1764.2620,100.6943,362.4994,0.0000,0.8301,-0.0000
1928.1733,308.8931,1767.4424,101.4436,365.1968,0.0000,0.8141,0.0000
1937.4723,317.6314,1770.6229,102.1730,367.8230,0.0000,-0.5380,0.0000
1946.7714,326.3697,1773.8034,101.6916,366.0896,0.0000,-4.8461,-0.0000
1956.0705,335.1079,1776.9838,97.2472,350.0898,0.0000,-4.7545,0.0000
1965.3695,343.8462,1780.1643,92.6799,333.6477,0.0000,-4.6646,0.0000
1974.6686,352.5845,1783.3448,87.9689,316.6879,0.0000,-4.5764,-0.0000
1983.9677,361.3227,1786.5253,83.0877,299.1158,0.0000,-4.4899,0.0000
1993.2667,370.0610,1789.7057,78.0026,280.8092,0.0000,-4.4050,0.0000
2002.5658,378.7992,1792.8862,72.6686,261.6068,0.0000,-4.3217,-0.0000
2011.8649,387.5375,1796.0667,67.0241,241.2869,0.0000,-4.2400,0.0000
2021.1639,396.2758,1799.2471,60.9808,219.5309,0.0000,-4.1598,0.0000
2030.4630,405.0140,1802.4276,54.4032,195.8515,0.0000,-3.6237,-0.0000
2039.7621,413.7523,1805.6081,47.9434,172.5961,0.4961,-2.7648,0.0021
2049.0611,422.4906,1808.7885,42.3572,152.4859,1.6384,-1.4838,0.0090
2057.8523,430.4811,1812.4541,39.2199,141.1918,2.5394,-0.1743,0.0162
2066.6436,437.7755,1817.3610,38.8348,139.8052,2.8341,-0.1743,0.0184
2075.4348,444.1825,1823.3806,38.4458,138.4048,2.7776,0.1743,0.0184
2084.2260,449.5342,1830.3551,38.8348,139.8052,2.8341,-0.1743,0.0184
2093.0172,453.6905,1838.1018,38.4458,138.4048,2.7776,0.2705,0.0184
2101.8084,456.5422,1846.4177,39.0478,140.5720,2.1490,1.6899,0.0138
2110.5996,458.0148,1855.0847,42.6171,153.4214,0.0000,-1.6118,0.0000
2119.3908,459.4874,1863.7517,39.2199,141.1918,2.1680,-0.1743,-0.0138
2128.1820,462.3392,1872.0675,38.8348,139.8052,2.8341,-0.1743,-0.0184
2136.9733,466.4954,1879.8142,38.4458,138.4048,2.7776,0.1743,-0.0184
2145.7645,471.8472,1886.7887,38.8348,139.8052,2.8341,-0.1743,-0.0184
2154.5557,478.2542,1892.8083,38.4458,138.4048,2.7776,0.2705,-0.0184
2163.3469,485.5486,1897.7152,39.0478,140.5720,2.5145,1.1572,-0.0162
2172.1381,493.5391,1901.3808,41.5249,149.4898,1.5871,1.7190,-0.0090
2181.2963,502.1450,1904.5131,45.0909,162.3274,0.4491,1.6863,-0.0022
2190.4544,510.7508,1907.6453,48.3343,174.0033,0.0000,1.6543,-0.0000
2199.6126,519.3567,1910.7776,51.3172,184.7420,0.0000,1.6229,0.0000
2208.7708,527.9626,1913.9099,54.0840,194.7023,0.0000,1.5921,0.0000
2217.9290,536.5684,1917.0422,56.6671,204.0014,0.0000,1.5619,-0.0000
2227.0871,545.1743,1920.1745,59.0915,212.7295,0.0000,1.5323,-0.0000
2236.2453,553.7802,1923.3067,61.3770,220.9571,0.0000,1.5032,0.0000
2245.4035,562.3860,1926.4390,63.5392,228.7412,0.0000,1.4747,0.0000
2254.5616,570.9919,1929.5713,65.5912,236.1284,0.0000,1.4467,-0.0000
2263.7198,579.5978,1932.7036,67.5437,243.1574,0.0000,1.4192,-0.0000
2272.8780,588.2036,1935.8358,69.4058,249.8609,0.0000,1.3923,0.0000
2282.0362,596.8095,1938.9681,71.1852,256.2668,0.0000,1.3659,0.0000
2291.1943,605.4153,1942.1004,72.8887,262.3992,0.0000,1.3399,-0.0000
2300.3525,614.0212,1945.2327,74.5220,268.2791,0.0000,1.3145,-0.0000
2309.5107,622.6271,1948.3650,76.0902,273.9248,0.0000,1.2896,0.0000
2318.6688,631.2329,1951.4972,77.5979,279.3524,0.0000,1.2651,0.0000
2327.8270,639.8388,1954.6295,79.0490,284.5765,0.0000,1.2411,0.0000
2336.9852,648.4447,1957.7618,80.4472,289.6099,0.0000,1.2175,-0.0000
2346.1433,657.0505,1960.8941,81.7956,294.4641,0.0000,1.1944,-0.0000
2355.3015,665.6564,1964.0264,83.0971,299.1497,0.0000,1.1717,0.0000
2364.4597,674.2623,1967.1586,84.3545,303.6762,0.7763,1.1495,-0.0011
2373.6179,682.8681,1970.2909,85.5700,308.0520,3.2056,1.1277,-0.0043
2382.7472,691.5629,1973.0741,86.7422,312.2721,5.7750,1.1064,-0.0075
2391.8765,700.4492,1975.1666,87.8771,316.3576,6.7723,1.0854,-0.0086
2401.0059,709.4723,1976.5554,88.9764,320.3151,6.9428,1.0649,-0.0086
2410.1352,718.5765,1977.2319,90.0419,324.1508,7.1100,1.0447,-0.0086
2419.2645,727.7057,1977.1921,91.0751,327.8704,7.2741,1.0250,-0.0086
2428.3939,736.8037,1976.4361,92.0775,331.4790,7.4351,1.0056,-0.0086
2437.5232,745.8144,1974.9686,93.0504,334.9816,7.5931,0.9866,-0.0086
2446.6525,754.6821,1972.7987,93.9952,338.3827,7.7481,0.9679,-0.0086
2455.7819,763.3522,1969.9397,94.9129,341.6865,7.9001,0.9496,-0.0086
2464.9112,771.7713,1966.4093,95.8048,344.8971,8.0493,0.9316,-0.0086
2474.0406,779.8874,1962.2292,96.6717,348.0182,8.1956,0.9140,-0.0086
2483.1699,787.6506,1957.4253,97.5148,351.0532,8.3392,0.8967,-0.0086
2492.2992,795.0129,1952.0270,98.3349,354.0055,8.4800,0.8797,-0.0086
